Name of file;Speaker;Topic;Start time;End time;Location
cmu.cs.scs-278_0;Alessandro Forin;Mach Internals Seminar: Physical Memory Management;1:00;;Wean 7500
cmu.cs.scs-2801_0;Melvin Montemerlo;NASA's Artificial Intelligence Program;3:30 PM;;5409 Wean Hall
cmu.cs.scs-2847_0;Karsten M Decker;Parallel Computing at the Swiss Scientific;2:30 PM;;Wean Hall 4623
cmu.cs.scs-2926_0;Joel S Birnbaum, PhD;A FREE OBJECT TECHNOLOGY TELECAST/SEMINAR;11:00;5:00;Cyert Hall Room 100
cmu.cs.scs-3178_0;Arthur J  Freeman;Computer Systems Seminar 9/16;4:00 PM;;Mellon Institute Building
cmu.cs.scs-3199_11;Edmund Bertschinger;Calendar joint CS-PSC seminar series;4:00 PM;;Mellon Institute, 3rd Floor Conference Room
cmu.cs.scs-3199_2;David Wood;Calendar joint CS-PSC seminar series;4:00 PM;;Wean Hall 5409
cmu.cs.scs-3199_5;George Lea;Calendar joint CS-PSC seminar series;4:00 PM;;Mellon Institute, 3rd Floor Conference Room
cmu.cs.scs-3199_6;Art Olson;Calendar joint CS-PSC seminar series;4:00 PM;;Mellon Institute, 3rd Floor Conference Room
cmu.cs.scs-3208_0;David Wood;9/23 CS/PSC Seminar;4:00 PM;;Wean Hall 5409
cmu.cs.scs-3218_0;Professor Randy Katz;REMINDER - KATZ TALK;3:30 PM;5:00 PM;WeH 7500
cmu.cs.scs-3228_0;Steve McGeady;CS/PSC/PS seminar <speaker>Steve McGeady</speaker> on 10/17;3:30 PM;;Wean Hall 5409
cmu.cs.scs-3234_0;Ken Forbus;Special AI Seminar;3:00 PM;;Wean 4625
cmu.cs.scs-3240_0;Dennis Gannon;PSC/CS Seminar 9/30: <speaker>Dennis Gannon</speaker>;4:00 PM;;SEI Auditorium
cmu.cs.scs-3265_0;Robert Cavalier;Redesigning the Classroom: Teaching and Technology;4:30;5:30 PM;Porter Hall 225B
cmu.cs.scs-335_0;Professor NG de Bruijn;"""Mathematical Theory of Quasicrystals""";10:30 AM;;5409 Wean Hall
cmu.cs.scs-3406_0;Maurice Herlihy;POP TALK;3:00 PM;4:30 PM;WeH 8220
cmu.cs.scs-3412_0;Rick Stevens;CS Seminar 12/2: Rick Stevens;4:00 PM;;5409 Wean Hall
cmu.cs.scs-3499_0;Kai-Fu Lee;APPLE COMPUTER TALK;12:00;1:30 PM;Wean 4625
cmu.cs.scs-3553_0;Edith Cohen;THEORY SEMINAR;3:30;5:00;Wean Hall
cmu.cs.scs-3568_0;Morten Welinder;POP SEMINAR;3:30 PM;5:00 PM;WeH 8220
cmu.cs.scs-3590_0;Risto Miikkulainen;PSC/CS Seminar 2/24: <speaker>Risto Miikkulainen</speaker>;4:00 PM;;Mellon Institute Building
cmu.cs.scs-368_0;Tim Griffin;Logical Interpretations and Computational Simulations;3:30 PM;;WeH 5409
cmu.cs.scs-3784_0;Raj Reddy;HCI seminar, Raj Reddy, <stime>3:30</stime> Friday 5-5, <location>Wean 5409</location>;3:30;;Wean 5409
cmu.cs.scs-3822_0;J Eric Bracken;Special ECE Seminar May 19;11:00 AM;;HH 1112
cmu.cs.scs-384_0;Jonathan Minden;Re: Seminar notice (STC);4:00 PM;;448 Mellon Institute
cmu.cs.scs-386_0;Gerard Allwein;Kripke Models for Linear Logic;3:00 PM;;817 Cathedral of Learning
cmu.cs.scs-3881_0;Jeff Trinkle;TALK - <speaker>Jeff Trinkle</speaker>, Texas A&M Univ;3:00 PM;;Wean Hall 5409
cmu.cs.scs-40_0;Ronald Rivest;Ron Rivest-Distingished Lecture Series-wed;3:30 PM;;7500 WeH
cmu.cs.scs-448_0;Steven Skiena;Algorithms for Square Roots of Graphs;1:30 PM;;Wean Hall 4634
cmu.cs.scs-465_0;Steven Skiena;Algorithms for Square Roots of Graphs;1:30 PM;;Wean Hall 4634
cmu.cs.scs-516_0;Garth Gibson;PS SEMINAR;3:30 PM;5:00 PM;Wean Hall 5409
cmu.cs.scs-524_0;Menachem Magidor;LOGIC COLLOQUIUM;3:30;;Wean 5409
cmu.cs.scs-595_0;Charles Brooks;PSC/CS Seminar: 2/28 4:00 @ SEI;4:00;;SEI Auditorium
cmu.cs.scs-613_0;Jaime Carbonell;Distinguished Lecture--Today;3:30 PM;;7500 Wean Hall
cmu.cs.scs-667_0;Juergen Roethig;Networks class/DQDB talk;1:30;;5409
cmu.cs.scs-757_0;Charles E Leiserson;CS Seminar 4/10: Leiserson of MIT/TMC @ <stime>4:00 p.m</stime>., <location>WeH 5403</location>;4:00 pm;;WeH 5403
cmu.cs.scs-764_0;James H Morris;DISTINGUISHED LECTURE--TODAY;3:30 PM;;Wean Hall 7500
cmu.cs.scs-783_0;David Wile;<speaker>David Wile</speaker> to give talk, Thursday April 16;1:00 PM;;4623 Wean Hall
cmu.cs.scs-787_0;Eliot Moss;Special PS Seminar 4/26;2:00 PM;;WeH 4623
cmu.cs.scs-825_0;Leslie Lamport;The Temporal Logic of Actions;3:30 PM;;Wean Hall 4623
cmu.cs.scs-851_0;Leslie Lamport;The Temporal Logic of Actions;3:30 PM;;Wean Hall 4623
cmu.cs.scs-857_1;;Undergrad Research Presentations;3:30;5:00;Wean 5403
cmu.cs.scs-890_0;Dr Hajime Nonogaki;Special Seminar, Monday May 11;10:30 AM;11:00 AM;Wean Hall 8220
cmu.cs.scs-940_0;Dr Seiichi Watanabe;SONY TALK: Dr. Seiichi Watanabe;2:30 PM;;Scaife Hall 124
cmu.edrc.ndim-124_0;Tom Landauer;Interesting HCI seminar...;3:30;5:00;WeH 5409
cmu.misc.environmental-health-and-safety-260_0;Professor Don Fullerton;EPP TALK: Household Demand for Garbage and Recycling Collection;4:30 PM;;EPP conference room, located in BH-129
pgh.forsale-9143_0;Leonard Gierach;Advanced Whole Brain Learning seminar;8:30 AM;12:30 PM;Centre for Education, One Kingsway
